"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.05.2012","2,0226","1,9042","2,1065","1,9042","","5,96%"
"01.04.2012","1,9088","1,8266","1,9123","1,8155","","4,51%"
"01.03.2012","1,8264","1,7174","1,8375","1,7098","","6,35%"
"01.02.2012","1,7174","1,7498","1,7498","1,6867","","-1,71%"
"01.01.2012","1,7472","1,8665","1,8754","1,7321","","-6,23%"
"01.12.2011","1,8632","1,8083","1,8884","1,7755","","3,04%"
"01.11.2011","1,8083","1,7172","1,9140","1,7130","","5,31%"
"01.10.2011","1,7172","1,8777","1,9175","1,6711","","-8,61%"
"01.09.2011","1,8790","1,5892","1,9498","1,5886","","18,24%"
"01.08.2011","1,5892","1,5501","1,6585","1,5450","","2,60%"
"01.07.2011","1,5490","1,5621","1,5854","1,5280","","-0,84%"
"01.06.2011","1,5622","1,5788","1,6163","1,5573","","-1,13%"
"01.05.2011","1,5800","1,5770","1,6457","1,5685","","0,16%"
"01.04.2011","1,5775","1,6318","1,6318","1,5565","","-3,34%"
"01.03.2011","1,6320","1,6640","1,6932","1,6205","","-1,91%"
"01.02.2011","1,6638","1,6672","1,6806","1,6553","","-0,22%"
"01.01.2011","1,6675","1,6598","1,6967","1,6433","","0,48%"
"01.12.2010","1,6595","1,7138","1,7220","1,6593","","-3,24%"
"01.11.2010","1,7150","1,7012","1,7428","1,6685","","0,81%"
"01.10.2010","1,7012","1,6876","1,7252","1,6433","","0,81%"
"01.09.2010","1,6876","1,7549","1,7593","1,6855","","-3,84%"
"01.08.2010","1,7550","1,7541","1,7822","1,7431","","0,06%"
"01.07.2010","1,7540","1,8052","1,8138","1,7495","","-2,77%"
"01.06.2010","1,8039","1,8194","1,8824","1,7487","","-0,89%"
"01.05.2010","1,8201","1,7372","1,9160","1,7252","","4,75%"
"01.04.2010","1,7375","1,7832","1,7932","1,7225","","-2,59%"
"01.03.2010","1,7837","1,8058","1,8302","1,7563","","-1,30%"
"01.02.2010","1,8072","1,8685","1,8980","1,7874","","-4,13%"
"01.01.2010","1,8850","1,7291","1,8971","1,7138","","8,15%"
"01.12.2009","1,7430","1,7497","1,8011","1,6995","","-0,71%"
